sp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Alipiopsitta xanthops,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Amazilia fimbriata,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,
Amazona aestiva,,,,,,,,,,1,,1,,,1,,1,,,,,,,1,,,,,,,1,
Ammodramus humeralis,3,,3,3,,1,1,11,2,4,1,7,2,3,1,1,2,4,8,,,7,1,,,2,,,,8,,
Aphantochroa cirrhochloris,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Ara ararauna,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aratinga acuticaudata,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aratinga aurea,2,,,,,,,1,,,,,,,1,1,,,3,,,4,,2,1,1,,,,4,,
Athene cunicularia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barypthengus ruficapillus,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Basileuterus culicivorus,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Campephilus melanoleucus,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Camptostoma obsoletum,,,,2,,1,,,,,,1,,,1,,,3,2,,,1,2,1,,,,,2,,,2
Canthorchilus leucotis,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,1,,
Caracara plancus,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Cariama cristata,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,1,1,
Chaetura meridionalis,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
Chlorostilbon lucidus,,1,,,,,,,,1,,,,,1,1,,,,,,1,1,,,1,,,,,,
Chordeiles pusillus,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,
Cnemotriccus fuscatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Colaptes campestris,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,
Crypturellus parvirostris,1,,,,,,,,,,,,,,2,,,,,,,,,1,,1,,,,1,,
Crypturellus undulatus,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Culicivora caudacuta,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanocorax chrysops,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,
Cyanocorax cristatelus,,,,,,,,2,,1,,,,,,,,,,1,,3,,,2,1,,,,1,3,
Cyanocorax cyanopogon,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Cyclarhis gujanensis,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,1,,,,,
Cypsnagra hirundinacea,,,,,,,,,,,,,1,,1,1,1,,,,,,3,,,,,,,,,
Dryocopus lineatus,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Elaenia chiriquensis,,,1,,,1,,6,3,1,,9,4,1,,9,1,6,11,,3,8,7,6,19,14,,,2,6,2,
Elaenia cristata,,,,,,2,,,,1,,,,,5,2,,,2,,,,2,,1,,,,1,,1,
Elaenia flavogaster,1,2,,,1,,,2,,,,1,,,1,,,,1,,,1,4,1,,,,,,,,
Emberezoides herbicola,,2,4,,,2,,4,3,4,1,,,,,,,1,6,,,4,,,,,,,,4,,
Eupetomena macroura,1,,,,,,,1,1,2,1,1,,,1,2,,2,,,,2,4,2,2,4,2,,1,5,5,1
Euphonia chlorotica,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2,,,,
Euscarthmus rufomarginatus,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falco femoralis,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Falco sparverius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Formicivora melanogaster,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,,
Formicivora rufa,,,1,,,,,,,,,,,3,2,,,,,,,,,3,,3,,,2,,,
Furnarius rufus,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Gnorimopsar chopi,,,15,6,,,,1,,,,,,,,,,,,,,,,4,5,,,2,,,,
Heliactin bilopha,,,,,,,,,1,2,,2,,,,1,2,2,3,1,,,1,,1,1,,,,,1,
Hemithraupis guira,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
Hemitriccus margaritaceinventer,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,
Heterospizias meridionalis,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,
Knipolegus lophotes,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
Legatus leucophaius,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Lepidocolaptes angustirostris,,,,,,,,,,1,,,,,,2,,,,1,,,2,1,2,2,2,,1,5,,
Machetornis rixosus,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megarynchus pitangua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Megascops choliba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Melanopareia torquata,,,,,,,1,,,,,,,,2,7,1,,,1,,,,,,3,,,,,,
Milvago chimachima,,,,,,,,1,,,,,,,,,,,,2,,,,,1,1,,,,,,
Mimus saturninus,1,,3,8,6,,,2,1,,,,,,4,1,,,,,,,,1,5,,,,,1,,
Myarchus swainsoni,,,,,,,,,,,,,,,3,,,,,,,2,,4,,,2,,,3,,
Myarchus tyrannulus,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Myophobus fasciatus,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neothraupis fasciata,,,,,,,,,,,,,2,,3,,1,2,,,,,1,,,,,,,,,
Nystalus chacuru,,,,,,,,,,,,,,,,,,,,,,2,2,4,1,1,,,,,,
Pachyramphus polychopterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
Parula pityaiumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Patagioenas cayennensis,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
Patagioenas picazuro,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Phacellodomus rufifrons,1,,2,,,,,1,,,1,,,,2,1,,,1,1,,1,1,,,,,,,,,
Phaethornis pretrei,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,1
Picumnus albosquamatus,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Piranga flava,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
Polioptila dumicola,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
Porphyrospiza caerulescens,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Progne chalybea,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Psarocolius decumanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Ramphastos toco,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,1,
Ramphocellus carbo,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Rupornis magnirostris,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Rynchotus rufescens,,2,,,,,2,3,,1,2,,,,1,1,1,2,1,,,,2,2,,2,,,,,,
Saltator similis,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Saltatricula atricollis,,,,,,2,1,9,2,1,,,,1,,3,,4,,,,3,2,,1,,,,,2,,
Scardafella squamata,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Schistochlamys melanopis,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Schistochlamys ruficapillus,,,,,2,,,,,,,,2,,3,,1,,,,1,,,,,,,,,,,
Schoeniophylax phryganophilus,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Sporophila angolensis,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sporophila plumbea,,,2,3,,,2,2,,,,2,,,,,,2,,,,,,,1,2,,,,14,,
Stelgidopteryx ruficollis,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Suiriri islerorum,,,,,,,4,13,,,,,,,,,,2,,,,2,1,,,,,,,4,,
Synalaxis albescens,1,,,,,,2,1,,,,3,1,2,,8,,5,,,,1,,3,1,3,,,,6,,
Synalaxis frontalis,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Tachornis squamata,,1,3,6,1,,,,,,,,,,1,3,,1,7,,,,,,4,1,,,,,,
Tangara cayana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Tangara palmarum,,,3,4,2,,,,1,,,,,,,,,,,,,,,1,4,,,,,,,
Tangara sayaca,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Thamnophilus torquatus,,,1,,,,,,,,,,,3,4,4,1,,,,,,1,,,,,,,,,
Troglodytes musculus,,,3,,1,1,1,2,,,,,,,4,2,,,2,,,3,2,3,7,1,1,,1,7,,1
Turdus leucomelas,,,,,,,,1,,1,,,,,,,,,,,,1,,1,,,,,,,,1
Tyrannus albogularis,,,2,1,2,,,,,,,,,,,,,2,1,,,,,,3,1,,,,,,
Volatinia jacarina,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xolmis cinereus,,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Xolmis velatus,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,
Zonotrichia capensis,4,1,5,,1,3,,4,,1,,3,,1,5,3,,,13,2,2,4,8,3,3,8,2,5,,7,,1
